COPY	in-scope	container01	container	(none)	Домашняя онлайн-школа "Корифей"Платформа для учеников 1–11 классов с поддержкой кураторов,
COPY	in-scope	container03	container	style7	34 года учим детей – теперь онлайнВ ТОП‑200 школ России – по версии крупнейшего агентства 
COPY	in-scope	container20	container	style18	Мягкий старт для будущих первоклассниковПервый класс по самой выгодной цене!Получите февра
COPY	in-scope	container42	container	style7	Экзамены без стрессаПредложение для учеников 9-х и 11-х классов – сдаём ОГЭ и ЕГЭ с уверен
COPY	in-scope	container24	container	style6	Почему мы? Объясняем в цифрах:
COPY	in-scope	divider19	divider	style4	
COPY	in-scope	container16	container	(none)	34 года34 года работы: онлайн-проект на базе гимназии “Корифей”ТОП-200Входим в рейтинг луч
COPY	in-scope	divider18	divider	style2	
COPY	in-scope	container39	container	style3	Онлайн-школа "Корифей" подходит тем, кто:Часто в разъездах или проживает за рубежомСтремит
COPY	in-scope	container32	container	style6	Чем онлайн-формат лучше очного?
COPY	in-scope	container28	container	(none)	Обычная школаКласс от 25 человекОбязательные кружкиНет гибкостиУтренние сборы и дорогаОнла
COPY	in-scope	container33	container	(none)	Получить бесплатную неделю онлайн
COPY	in-scope	container29	container	style6	Цены*стоимость при единоразовой оплате за учебный год
COPY	in-scope	container12	container	style10	1-4 классыДелаем первые шаги в обучении вместеДо 15 учеников в классе10 часов уроков в нед
COPY	in-scope	container41	container	style3	Предметы эстетикиБлок дисциплин, объединенных общей идеей — воспитание культуры чувств, вк
COPY	in-scope	container26	container	style3	BOOKR class — современный подход к изучению английского языкаПрограмма объединяет чтение, 
COPY	in-scope	container23	container	style6	Кто ведет занятия?Учителя, которые любят своё дело и уважают учениковНаши преподаватели — 
COPY	in-scope	container18	container	style5	Ваулина Екатерина МихайловнаУчитель математикиУчитель с природным обаянием, с которым комф
COPY	in-scope	container25	container	style5	Лебединцева Ирина Николаевнаучитель информатикиЭксперт ОГЭ и ЕГЭПреподаватель профиля "Про
COPY	in-scope	divider10	divider	style2	
COPY	in-scope	container31	container	style19	Как поступить в Онлайн-школу?Оставьте заявку — менеджер свяжется с Вами и расскажет все по
COPY	in-scope	container36	container	style6	Как оплатить обучение
COPY	in-scope	container34	container	(none)	Банковской картойОплатите обучение сразу за весь год и получите приятный бонус. Доступна о
COPY	in-scope	container09	container	(none)	Налоговый вычетВы можете вернуть 13% от стоимости обучения.Наша школа предоставляет все не
COPY	in-scope	container17	container	style6	Частые вопросы
COPY	in-scope	container27	container	(none)	В. Как перевестись на семейное обучение?Семейное образование — это альтернатива традиционн
COPY	in-scope	divider38	divider	style2	
COPY	in-scope	container19	container	(none)	Наши партнёры НИУ «Высшая школа экономики»Благотворительный фонд имени доктора Леконцевой 
COPY	in-scope	container10	container	(none)	Закрыть
COPY	in-scope	container21	container	(none)	Как проходит обучение
COPY	in-scope	container22	container	(none)	Обучение в Онлайн-школе проходит на современной платформе и по стандарту. С живыми уроками
COPY	in-scope	container13	container	style7	Для родителей:Мы обучаем строго по ФГОСПрисылаем отчётность об успехах ребенка каждый меся
COPY	in-scope	container11	container	style18	График занятий и документыУчимся по расписаниюсдаём аттестацииполучаем госаттестатЗанятия 
COPY	in-scope	buttons16	buttons	style4	Попробовать бесплатноНазад
SKIP	excluded-section	container37	container	style21	Закрыть
SKIP	excluded-section	container38	container	(none)	форма заявки
SKIP	excluded-section	divider12	divider	style3	
SKIP	excluded-section	container14	container	style21	Закрыть
SKIP	excluded-section	container15	container	(none)	Спасибо! Ваша заявка принятаМы свяжемся с Вами в ближайшее время.
COPY	in-scope	container35	container	style6	Скрытый Контент! РезервВнимание! Все, что находится ниже разделителя hiden-bellow-theline 
COPY	in-scope	container05	container	(none)	Денис РябинВыпускник гимназии «Корифей» 2016 г. В 2022 г. окончил лечебный факультет ПСПбГ
COPY	in-scope	container07	container	(none)	Анастасия Евгеньевна В.Очень нравится формат обучения, дружелюбная обстановка и углубленны
COPY	in-scope	container40	container	style18	Почему нас выбираютОнлайн-школа сегодня — это уникальное сочетание 32-летнего педагогическ
COPY	in-scope	container02	container	style14	Онлайн школа КорифейОбщеобразовательная онлайн-школа: учись в онлайне в комфортном темпе. 
SKIP	exclude-form	form01	form	style1	ФИОТелефонПромокодПримечаниеНажимая на кнопку ЗАПИСАТЬСЯ, вы даёте согласие на обработку п
SKIP	technical-embed	embed08	embed	(none)	Main carousel Scroll DIV start
COPY	in-scope	container46	container	style15	
SKIP	technical-embed	embed07	embed	(none)	Main carousel DIV end
COPY	in-scope	container06	container	style11	cancel-lightyoutube.com/watch?v=OYMmDRfZhVg Закрыть
